Marc-Andre MONETTE POSITION,Marc-Andre MONETTE LAP TIME,Marc-Andre MONETTE ELAPSED TIME,Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Boren ZUNAC POSITION,Boren ZUNAC LAP TIME,Boren ZUNAC ELAPSED TIME
2,6.907,6.907,1,6.805,6.805,3,7.086,7.086,4,7.202,7.202
2,9.464,16.371,1,9.348,16.153,3,9.286,16.372,4,9.717,16.919
2,8.865,25.236,3,9.124,25.277,1,8.679,25.051,4,9.508,26.427
1,8.587,33.824,3,9.057,34.334,2,9.011,34.062,4,9.760,36.188
1,8.975,42.798,3,9.181,43.515,2,9.208,43.270,4,10.020,46.207
