BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,MIGUNOV Dmitry POSITION,MIGUNOV Dmitry LAP TIME,MIGUNOV Dmitry ELAPSED TIME
1,12.68,12.68,1,12.68,12.68,4,12.84,12.84,3,12.71,12.71,5,12.96,12.96
2,9.51,22.19,4,9.66,22.34,3,9.42,22.26,1,9.37,22.08,5,9.44,22.40
1,9.49,31.68,3,9.60,31.94,3,9.68,31.94,2,9.73,31.81,5,9.70,32.10
1,9.29,40.97,3,9.27,41.21,4,9.34,41.28,2,9.30,41.11,5,9.30,41.40
1,9.24,50.21,3,9.20,50.41,4,9.21,50.49,2,9.18,50.29,5,9.20,50.60
1,9.02,59.23,3,9.02,59.43,4,9.04,59.53,2,9.02,59.31,5,9.07,59.67
2,8.87,1:08.10,3,8.80,1:08.23,4,8.71,1:08.24,1,8.68,1:07.99,5,8.74,1:08.41
2,8.94,1:17.04,5,9.27,1:17.50,3,8.91,1:17.15,1,8.92,1:16.91,4,8.83,1:17.24
2,8.97,1:26.01,5,9.15,1:26.657,4,9.02,1:26.175,1,9.04,1:25.95,3,8.85,1:26.096
