SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,WANG Hong Yang POSITION,WANG Hong Yang LAP TIME,WANG Hong Yang ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME
4,13.344,13.344,2,12.989,12.989,3,13.116,13.116,1,12.802,12.802
4,9.762,23.105,2,9.862,22.851,3,9.782,22.898,1,9.910,22.712
4,10.106,33.212,2,10.200,33.051,3,10.175,33.073,1,10.260,32.971
4,9.943,43.154,3,9.893,42.944,2,9.862,42.935,1,9.843,42.814
4,9.786,52.940,1,9.480,52.424,2,9.636,52.572,3,9.793,52.606
4,9.348,1:02.288,1,9.447,1:01.871,2,9.340,1:01.911,3,9.415,1:02.021
2,9.064,1:11.352,1,9.426,1:11.297,3,9.525,1:11.436,4,9.732,1:11.753
2,9.563,1:20.915,1,9.489,1:20.786,3,9.641,1:21.078,4,9.636,1:21.389
1,9.276,1:30.191,2,9.554,1:30.341,3,9.746,1:30.823,4,10.198,1:31.587
