VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,Marie-Andree MENDES-CAMPEAU POSITION,Marie-Andree MENDES-CAMPEAU LAP TIME,Marie-Andree MENDES-CAMPEAU ELAPSED TIME,Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,ZHANG Hui POSITION,ZHANG Hui LAP TIME,ZHANG Hui ELAPSED TIME
3,8.74,8.74,1,8.49,8.49,4,8.84,8.84,2,8.63,8.63,5,9.05,9.05,6,9.23,9.23
3,11.59,20.33,1,11.62,20.11,4,11.58,20.42,2,11.60,20.23,5,11.54,20.59,6,11.60,20.83
3,11.06,31.39,1,11.05,31.16,4,11.10,31.52,2,11.04,31.27,5,11.03,31.62,6,10.82,31.65
4,10.54,41.93,2,10.53,41.69,5,10.49,42.01,1,10.33,41.60,6,10.56,42.18,3,10.16,41.81
4,10.90,52.83,2,10.88,52.57,6,10.91,52.92,1,10.86,52.46,5,10.68,52.86,3,10.91,52.72
5,10.54,1:03.37,3,10.63,1:03.20,6,10.56,1:03.48,4,10.77,1:03.23,1,9.91,1:02.77,2,10.43,1:03.15
5,10.16,1:13.53,1,10.04,1:13.24,6,10.08,1:13.56,3,10.11,1:13.34,2,10.47,1:13.24,4,10.25,1:13.40
6,10.44,1:23.97,1,10.11,1:23.35,5,10.27,1:23.83,3,10.23,1:23.57,2,10.20,1:23.44,4,10.28,1:23.68
6,10.33,1:34.30,2,10.24,1:33.59,5,10.25,1:34.08,3,10.16,1:33.73,1,10.10,1:33.54,4,10.23,1:33.91
6,10.91,1:45.21,3,10.04,1:43.63,5,10.19,1:44.27,2,9.89,1:43.62,1,9.99,1:43.53,4,9.93,1:43.84
6,11.60,1:56.81,4,10.36,1:53.99,5,10.65,1:54.92,2,10.10,1:53.72,1,10.07,1:53.60,3,10.03,1:53.87
6,12.31,2:09.12,4,10.28,2:04.27,5,11.45,2:06.37,2,9.98,2:03.70,1,9.96,2:03.56,3,10.09,2:03.96
6,13.07,2:22.19,4,10.65,2:14.92,5,12.40,2:18.77,2,10.05,2:13.75,1,10.08,2:13.64,3,10.30,2:14.26
5,13.98,2:36.161,3,11.30,2:26.219,4,13.28,2:32.050,2,10.29,2:24.040,1,10.24,2:23.880,0,,PEN
