DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME,Cole William Isaac KRUEGER POSITION,Cole William Isaac KRUEGER LAP TIME,Cole William Isaac KRUEGER ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,WOLFGANG Matthias POSITION,WOLFGANG Matthias LAP TIME,WOLFGANG Matthias ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Metehan ATAN POSITION,Metehan ATAN LAP TIME,Metehan ATAN ELAPSED TIME
1,8.51,8.51,2,8.63,8.63,3,8.73,8.73,6,8.95,8.95,4,8.74,8.74,5,8.84,8.84
1,12.38,20.89,2,12.39,21.02,3,12.41,21.14,6,12.60,21.55,4,12.51,21.25,5,12.56,21.40
1,11.91,32.80,2,11.89,32.91,3,11.88,33.02,6,11.87,33.42,4,11.86,33.11,5,11.86,33.26
1,11.74,44.54,2,11.73,44.64,3,11.73,44.75,6,11.74,45.16,4,11.78,44.89,5,11.73,44.99
1,11.55,56.09,2,11.58,56.22,3,11.63,56.38,6,11.62,56.78,4,11.59,56.48,5,11.62,56.61
1,10.81,1:06.90,3,10.78,1:07.00,5,10.81,1:07.19,6,10.68,1:07.46,2,10.51,1:06.99,4,10.51,1:07.12
1,9.81,1:16.71,2,9.79,1:16.79,4,9.81,1:17.00,6,9.79,1:17.25,3,9.89,1:16.88,5,9.95,1:17.07
2,9.89,1:26.60,3,9.91,1:26.70,4,9.84,1:26.84,6,10.05,1:27.30,1,9.59,1:26.47,5,9.96,1:27.03
2,9.44,1:36.04,3,9.46,1:36.16,4,9.43,1:36.27,6,9.58,1:36.88,1,9.50,1:35.97,5,9.39,1:36.42
2,9.31,1:45.35,3,9.30,1:45.46,4,9.29,1:45.56,6,9.72,1:46.60,1,9.28,1:45.25,5,9.25,1:45.67
2,9.10,1:54.45,3,9.03,1:54.49,4,9.11,1:54.67,6,10.09,1:56.69,1,9.12,1:54.37,5,9.16,1:54.83
4,9.47,2:03.92,2,9.12,2:03.61,3,9.08,2:03.75,6,10.47,2:07.16,1,8.88,2:03.25,5,9.21,2:04.04
4,9.18,2:13.10,2,9.12,2:12.73,3,9.30,2:13.05,6,11.08,2:18.24,1,9.00,2:12.25,5,9.40,2:13.44
3,9.21,2:22.31,2,9.29,2:22.02,4,9.70,2:22.75,6,12.38,2:30.62,1,9.18,2:21.43,5,10.21,2:23.65
