LEE June Seo POSITION,LEE June Seo LAP TIME,LEE June Seo ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,BLUNDEN Keanu POSITION,BLUNDEN Keanu LAP TIME,BLUNDEN Keanu ELAPSED TIME,TENZER Robin POSITION,TENZER Robin LAP TIME,TENZER Robin ELAPSED TIME,Alphonse OUIMETTE POSITION,Alphonse OUIMETTE LAP TIME,Alphonse OUIMETTE ELAPSED TIME,Stribor SUMAN POSITION,Stribor SUMAN LAP TIME,Stribor SUMAN ELAPSED TIME,LIU Heinrich POSITION,LIU Heinrich LAP TIME,LIU Heinrich ELAPSED TIME
1,10.22,10.22,5,10.51,10.51,3,10.37,,6,10.64,10.64,2,10.30,10.30,4,10.48,10.48,7,10.75,10.75
2,13.51,23.73,6,13.73,24.24,3,13.52,,5,13.39,24.03,1,13.31,23.61,4,13.52,24.00,7,13.60,24.35
2,12.21,35.94,6,11.97,36.21,3,12.17,,4,12.04,36.07,1,12.20,35.81,5,12.17,36.17,7,11.98,36.33
5,11.45,47.39,1,10.94,47.15,3,11.29,,4,11.30,47.37,2,11.45,47.26,6,11.44,47.61,7,11.41,47.74
5,10.70,58.09,4,10.90,58.05,1,10.42,,3,10.55,57.92,2,10.59,57.85,6,10.58,58.19,7,10.60,58.34
4,10.70,1:08.79,1,10.51,1:08.56,3,10.86,,1,10.64,1:08.56,5,11.07,1:08.92,6,10.85,1:09.04,7,10.82,1:09.16
4,10.17,1:18.96,1,10.07,1:18.63,3,10.20,,2,10.16,1:18.72,5,10.10,1:19.02,6,10.13,1:19.17,7,10.07,1:19.23
1,9.44,1:28.40,2,9.78,1:28.41,3,9.66,,4,9.78,1:28.50,5,9.57,1:28.59,6,9.60,1:28.77,7,10.01,1:29.24
1,8.88,1:37.28,2,9.01,1:37.42,3,9.05,,5,9.41,1:37.91,4,9.05,1:37.64,6,9.29,1:38.06,7,10.32,1:39.56
1,8.96,1:46.24,2,8.88,1:46.30,3,8.92,,5,9.12,1:47.03,4,8.88,1:46.52,6,9.32,1:47.38,7,11.26,1:50.82
1,8.78,1:55.02,2,8.84,1:55.14,3,8.91,,5,9.39,1:56.42,4,8.96,1:55.48,6,9.73,1:57.11,7,11.60,2:02.42
1,8.60,2:03.62,2,8.75,2:03.89,3,8.80,,5,9.82,2:06.24,4,8.84,2:04.32,6,10.33,2:07.44,7,12.51,2:14.93
1,8.72,2:12.34,2,8.92,2:12.81,3,8.83,,5,10.37,2:16.61,4,9.10,2:13.42,6,11.00,2:18.44,7,12.20,2:27.13
1,8.98,2:21.32,3,9.76,2:22.57,2,9.10,,4,10.73,2:27.347,4,10.19,2:23.61,5,11.26,2:29.705,6,12.69,2:39.820
