Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,CHOI Jung-Won POSITION,CHOI Jung-Won LAP TIME,CHOI Jung-Won ELAPSED TIME,Sayuri SHIMIZU POSITION,Sayuri SHIMIZU LAP TIME,Sayuri SHIMIZU ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME
1,12.98,12.98,4,13.28,13.28,2,13.07,13.07,3,13.09,13.09
1,10.17,23.15,4,10.22,23.50,3,10.31,23.38,2,10.17,23.26
1,10.23,33.38,4,10.19,33.69,3,10.22,33.60,2,10.22,33.48
1,10.20,43.58,4,10.22,43.91,3,10.22,43.82,2,10.23,43.71
1,10.03,53.61,4,9.99,53.90,3,9.99,53.81,2,10.03,53.74
1,9.85,1:03.46,4,9.85,1:03.75,3,9.84,1:03.65,2,9.83,1:03.57
1,9.80,1:13.26,4,9.81,1:13.56,3,9.83,1:13.48,2,9.75,1:13.32
1,9.79,1:23.05,3,9.65,1:23.21,4,9.86,1:23.34,2,9.83,1:23.15
1,9.84,1:32.887,3,9.84,1:33.047,4,9.84,1:33.171,2,9.81,1:32.954
