WANG Wei POSITION,WANG Wei LAP TIME,WANG Wei ELAPSED TIME,Myrtille GOLLIN POSITION,Myrtille GOLLIN LAP TIME,Myrtille GOLLIN ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Yuka KAMINO POSITION,Yuka KAMINO LAP TIME,Yuka KAMINO ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Tania VICENT POSITION,Tania VICENT LAP TIME,Tania VICENT ELAPSED TIME
2,9.693,9.693,5,10.154,10.154,4,10.109,10.109,3,9.776,9.776,1,9.465,9.465,6,10.190,10.190
1,13.197,22.890,6,13.064,23.218,2,12.783,22.892,4,13.180,22.955,3,13.483,22.948,5,12.975,23.165
1,11.078,33.968,6,11.483,34.701,3,11.254,34.146,4,11.267,34.221,5,11.278,34.225,2,10.842,34.007
1,10.921,44.888,6,10.795,45.495,2,10.748,44.893,5,10.989,45.210,4,10.795,45.019,3,10.966,44.972
2,11.067,55.955,5,10.893,56.388,1,10.882,55.775,4,11.007,56.216,3,11.064,56.082,6,11.453,56.425
2,10.647,1:06.602,6,10.616,1:07.003,1,10.698,1:06.472,4,10.537,1:06.753,3,10.642,1:06.724,5,10.401,1:06.826
2,10.426,1:17.027,6,10.514,1:17.517,1,10.508,1:16.980,4,10.489,1:17.241,3,10.369,1:17.093,5,10.472,1:17.298
2,10.187,1:27.213,6,10.287,1:27.803,1,10.215,1:27.195,5,10.307,1:27.547,4,10.320,1:27.412,3,10.028,1:27.325
3,10.217,1:37.429,6,9.998,1:37.801,1,10.129,1:37.323,5,10.151,1:37.697,4,10.121,1:37.533,2,10.034,1:37.359
3,9.887,1:47.315,6,9.883,1:47.684,1,9.906,1:47.228,5,9.856,1:47.553,4,9.890,1:47.423,2,9.954,1:47.313
2,9.853,1:57.168,6,10.083,1:57.766,3,9.983,1:57.211,5,9.988,1:57.541,4,9.955,1:57.377,1,9.811,1:57.123
5,10.075,2:07.242,6,9.998,2:07.763,1,9.945,2:07.155,3,9.659,2:07.199,4,9.822,2:07.199,2,10.059,2:07.182
1,9.764,2:17.006,6,10.260,2:18.023,5,10.370,2:17.524,4,10.228,2:17.426,2,10.040,2:17.239,3,10.109,2:17.291
1,10.13,2:27.134,6,10.51,2:28.526,4,10.23,2:27.753,5,10.43,2:27.851,2,9.99,2:27.224,3,10.30,2:27.583
