Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME
1,7.00,7.00,2,7.15,7.15,3,7.30,7.30,4,7.41,7.41
1,9.19,16.19,2,9.10,16.25,3,9.08,16.38,4,9.10,16.51
2,8.79,24.98,1,8.57,24.82,3,8.65,25.03,4,8.74,25.25
4,28.99,53.97,1,8.83,33.65,2,8.87,33.90,3,9.23,34.48
4,14.06,1:08.028,1,8.93,42.574,2,8.81,42.708,3,9.48,43.951
