KIM Yun-Jae POSITION,KIM Yun-Jae LAP TIME,KIM Yun-Jae ELAPSED TIME,Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME,Ian UPCOTT POSITION,Ian UPCOTT LAP TIME,Ian UPCOTT ELAPSED TIME,Dawid RZEMIENIECKI POSITION,Dawid RZEMIENIECKI LAP TIME,Dawid RZEMIENIECKI ELAPSED TIME,Liam McFARLANE POSITION,Liam McFARLANE LAP TIME,Liam McFARLANE ELAPSED TIME
5,10.13,10.13,2,9.73,9.73,3,9.85,9.85,1,9.59,9.59,4,9.97,9.97
5,13.47,23.60,2,13.43,23.16,3,13.48,23.33,1,13.41,23.00,4,13.48,23.45
5,12.25,35.85,2,12.17,35.33,3,12.17,35.50,1,12.20,35.20,4,12.22,35.67
5,11.38,47.23,2,11.56,46.89,3,11.51,47.01,1,11.55,46.75,4,11.48,47.15
3,10.46,57.69,2,10.77,57.66,4,10.81,57.82,1,10.79,57.54,5,10.70,57.85
1,9.35,1:07.04,3,9.67,1:07.33,5,9.74,1:07.56,4,9.81,1:07.35,2,9.24,1:07.09
2,9.72,1:16.76,3,9.51,1:16.84,5,9.47,1:17.03,4,9.59,1:16.94,1,9.60,1:16.69
2,9.84,1:26.60,3,9.81,1:26.65,4,9.78,1:26.81,5,9.92,1:26.86,1,9.87,1:26.56
2,10.02,1:36.62,3,10.09,1:36.74,4,10.04,1:36.85,5,10.13,1:36.99,1,9.99,1:36.55
1,9.82,1:46.44,3,9.85,1:46.59,4,9.89,1:46.74,5,9.91,1:46.90,2,9.89,1:46.44
1,9.39,1:55.83,3,9.49,1:56.08,4,9.50,1:56.24,5,10.10,1:57.00,2,9.44,1:55.88
1,9.32,2:05.15,3,9.49,2:05.57,4,9.48,2:05.72,5,10.56,2:07.56,2,9.35,2:05.23
1,9.48,2:14.63,4,9.83,2:15.40,3,9.51,2:15.23,5,11.14,2:18.70,2,9.68,2:14.91
1,9.90,2:24.530,4,10.31,2:25.702,3,9.86,2:25.087,5,12.03,2:30.730,2,10.06,2:24.961
