Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,Patrick DUFFY POSITION,Patrick DUFFY LAP TIME,Patrick DUFFY ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME
1,13.73,13.73,3,14.02,14.02,2,13.83,13.83,4,14.18,14.18
1,10.60,24.33,3,10.53,24.55,2,10.61,24.44,4,10.50,24.68
2,9.93,34.26,3,9.90,34.45,1,9.70,34.14,4,9.85,34.53
1,9.19,43.45,3,9.13,43.58,2,9.39,43.53,4,9.13,43.66
1,9.32,52.77,2,9.38,52.96,3,9.53,53.06,4,9.53,53.19
1,9.18,1:01.95,3,9.12,1:02.08,2,8.99,1:02.05,4,8.96,1:02.15
2,9.31,1:11.26,4,9.43,1:11.51,1,9.07,1:11.12,3,9.12,1:11.27
3,9.43,1:20.69,4,9.43,1:20.94,1,9.21,1:20.33,2,9.15,1:20.42
3,9.72,1:30.405,4,9.59,1:30.527,1,9.35,1:29.676,2,9.43,1:29.844
