HAYASHI Ibuki POSITION,HAYASHI Ibuki LAP TIME,HAYASHI Ibuki ELAPSED TIME,SONG Jia Hua POSITION,SONG Jia Hua LAP TIME,SONG Jia Hua ELAPSED TIME,KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,Luca SPECHENHAUSER POSITION,Luca SPECHENHAUSER LAP TIME,Luca SPECHENHAUSER ELAPSED TIME,Jens van 'T WOUT POSITION,Jens van 'T WOUT LAP TIME,Jens van 'T WOUT ELAPSED TIME,WADA Takumi POSITION,WADA Takumi LAP TIME,WADA Takumi ELAPSED TIME,KARPOV Viacheslav POSITION,KARPOV Viacheslav LAP TIME,KARPOV Viacheslav ELAPSED TIME
1,9.69,9.69,6,10.35,10.35,3,9.93,9.93,4,10.08,10.08,7,10.50,10.50,2,9.82,9.82,5,10.22,10.22
1,12.90,22.59,6,12.89,23.24,3,12.93,22.86,4,12.92,23.00,7,12.86,23.36,2,12.91,22.73,5,12.79,23.01
1,12.05,34.64,6,12.07,35.31,3,12.04,34.90,5,12.15,35.15,7,12.12,35.48,2,12.04,34.77,4,12.02,35.03
1,11.52,46.16,5,11.16,46.47,3,11.46,46.36,4,11.31,46.46,7,11.18,46.66,2,11.50,46.27,5,11.44,46.47
2,10.18,56.34,1,9.80,56.27,6,10.40,56.76,5,10.18,56.64,7,10.18,56.84,3,10.17,56.44,4,10.07,56.54
1,9.90,1:06.24,1,9.97,1:06.24,6,9.83,1:06.59,3,9.70,1:06.34,7,9.86,1:06.70,4,9.94,1:06.38,5,9.92,1:06.46
1,9.55,1:15.79,2,9.64,1:15.88,6,9.65,1:16.24,3,9.62,1:15.96,7,9.66,1:16.36,4,9.66,1:16.04,5,9.60,1:16.06
1,9.61,1:25.40,2,9.62,1:25.50,5,9.55,1:25.79,4,9.72,1:25.68,7,9.61,1:25.97,3,9.56,1:25.60,6,9.75,1:25.81
1,9.29,1:34.69,3,9.25,1:34.75,5,9.20,1:34.99,4,9.19,1:34.87,7,9.31,1:35.28,2,9.12,1:34.72,6,9.38,1:35.19
3,9.22,1:43.91,5,9.28,1:44.03,4,8.98,1:43.97,2,9.00,1:43.87,7,8.97,1:44.25,1,9.09,1:43.81,6,8.97,1:44.16
4,8.97,1:52.88,6,9.07,1:53.10,2,8.80,1:52.77,1,8.81,1:52.68,5,8.82,1:53.07,3,9.01,1:52.82,7,9.04,1:53.20
4,9.09,2:01.97,6,9.01,2:02.11,1,8.62,2:01.39,1,8.71,2:01.39,3,8.71,2:01.78,5,9.24,2:02.06,7,9.40,2:02.60
4,8.98,2:10.95,5,8.92,2:11.03,3,9.09,2:10.48,1,8.98,2:10.37,2,8.66,2:10.44,6,9.80,2:11.86,7,9.78,2:12.38
4,9.00,2:19.95,5,9.26,2:20.29,0,9.19,2:19.67,1,9.21,2:19.58,0,9.24,2:19.68,6,9.99,2:21.851,7,10.51,2:22.895
