PARK Ji Won POSITION,PARK Ji Won LAP TIME,PARK Ji Won ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME
1,7.12,7.12,2,7.20,7.20,3,7.32,7.32
1,9.10,16.22,2,9.09,16.29,3,9.16,16.48
1,8.77,24.99,2,8.76,25.05,3,8.77,25.25
2,8.93,33.92,1,8.73,33.78,3,8.82,34.07
2,8.85,42.770,1,8.91,42.688,3,8.97,43.034
