SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,Paul WORTH POSITION,Paul WORTH LAP TIME,Paul WORTH ELAPSED TIME
3,13.840,13.840,2,13.680,13.680,1,13.600,13.600,4,13.870,13.870
4,10.330,24.170,2,10.400,24.090,3,10.530,24.130,1,9.910,23.780
3,9.860,34.040,2,9.720,33.810,4,18.570,42.710,1,9.840,33.630
3,9.990,44.030,2,10.070,43.890,4,20.690,1:03.410,1,10.020,43.650
3,10.280,54.320,2,10.410,54.300,4,12.390,1:15.800,1,10.460,54.120
2,10.340,1:04.660,3,10.420,1:04.730,4,10.220,1:26.030,1,10.460,1:04.580
1,9.860,1:14.520,3,10.080,1:14.810,4,10.700,1:36.740,2,10.040,1:14.620
1,9.490,1:24.020,2,9.340,1:24.160,4,12.160,1:48.900,3,10.010,1:24.630
1,9.680,1:33.710,2,9.700,1:33.860,4,10.840,1:59.750,3,10.990,1:35.630
