Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Cherise WILKINS POSITION,Cherise WILKINS LAP TIME,Cherise WILKINS ELAPSED TIME,Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME
3,13.630,13.630,1,13.340,13.340,0,,,2,13.520,13.520
3,10.390,24.030,1,10.380,23.720,0,,,2,10.380,23.900
3,10.060,34.090,1,10.150,33.880,0,,,2,10.090,34.000
3,10.040,44.140,1,10.020,43.900,0,,,2,10.070,44.080
2,9.860,54.010,1,9.870,53.780,4,0.000,54.080,3,9.990,54.070
2,9.780,1:03.790,1,9.610,1:03.400,4,9.750,1:03.830,3,9.750,1:03.830
1,9.430,1:13.230,4,10.490,1:13.890,3,9.910,1:13.740,2,9.820,1:13.650
4,11.210,1:24.440,3,10.090,1:23.990,2,9.720,1:23.470,1,9.710,1:23.360
1,8.760,1:33.210,4,11.640,1:35.630,3,10.560,1:34.030,2,10.120,1:33.490
