Valentyn DANILOVSKYI POSITION,Valentyn DANILOVSKYI LAP TIME,Valentyn DANILOVSKYI ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME
3,6.99,6.99,1,6.76,6.76,4,7.19,7.19,2,6.89,6.89
3,9.31,16.30,2,9.05,15.81,4,9.25,16.44,1,8.77,15.66
4,9.12,25.42,2,8.35,24.16,3,8.94,25.38,1,8.41,24.07
4,9.31,34.73,2,8.62,32.78,3,9.17,34.55,1,8.55,32.62
4,9.71,44.433,2,8.94,41.716,3,9.38,43.924,1,8.81,41.423
