PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Patrick DUFFY POSITION,Patrick DUFFY LAP TIME,Patrick DUFFY ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,YU Jiyang POSITION,YU Jiyang LAP TIME,YU Jiyang ELAPSED TIME
3,12.71,12.71,2,12.61,12.61,4,12.74,12.74,1,12.53,12.53
4,9.66,22.37,2,9.50,22.11,3,9.48,22.22,1,9.48,22.01
4,9.36,31.73,2,9.37,31.48,3,9.37,31.59,1,9.39,31.40
4,9.36,41.09,2,9.37,40.85,3,9.37,40.96,1,9.35,40.75
4,9.04,50.13,2,8.92,49.77,3,8.88,49.84,1,9.01,49.76
4,8.92,59.05,1,8.84,58.61,3,9.01,58.85,2,9.02,58.78
4,8.82,1:07.87,1,8.90,1:07.51,3,8.97,1:07.82,2,8.97,1:07.75
1,8.68,1:16.55,2,9.04,1:16.55,4,9.13,1:16.95,3,9.16,1:16.91
1,8.80,1:25.345,2,9.30,1:25.846,4,11.73,1:28.676,3,9.57,1:26.472
