Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,Andrey STARZHINSKIY POSITION,Andrey STARZHINSKIY LAP TIME,Andrey STARZHINSKIY ELAPSED TIME
2,12.97,12.97,1,12.85,12.85,3,13.12,13.12,4,13.26,13.26
1,10.04,23.01,2,10.25,23.10,3,10.09,23.21,4,10.05,23.31
1,10.17,33.18,3,10.18,33.28,2,10.05,33.26,4,10.12,33.43
2,10.17,43.35,3,10.21,43.49,1,10.07,43.33,4,10.19,43.62
2,9.49,52.84,3,9.50,52.99,1,9.39,52.72,4,9.53,53.15
2,9.25,1:02.09,3,9.24,1:02.23,1,9.26,1:01.98,4,9.28,1:02.43
2,9.23,1:11.32,3,9.24,1:11.47,1,9.22,1:11.20,4,9.28,1:11.71
2,9.31,1:20.63,3,9.43,1:20.90,1,9.34,1:20.54,4,9.44,1:21.15
2,9.58,1:30.210,3,9.71,1:30.602,1,9.50,1:30.035,4,9.84,1:30.986
