Alexandre ST JEAN POSITION,Alexandre ST JEAN LAP TIME,Alexandre ST JEAN ELAPSED TIME,Claude GILBERT POSITION,Claude GILBERT LAP TIME,Claude GILBERT ELAPSED TIME,KIM Joon Chun POSITION,KIM Joon Chun LAP TIME,KIM Joon Chun ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME
3,12.77,12.77,1,12.43,12.43,2,12.62,12.62,4,12.88,12.88
3,9.44,22.21,1,9.62,22.05,2,9.52,22.14,4,9.41,22.29
3,9.54,31.75,1,9.46,31.51,2,9.46,31.60,4,9.57,31.86
3,9.24,40.99,1,9.29,40.80,2,9.27,40.87,4,9.24,41.10
3,9.12,50.11,1,9.15,49.95,2,9.16,50.03,4,9.11,50.21
3,9.04,59.15,1,9.08,59.03,2,9.08,59.11,4,9.10,59.31
1,9.33,1:08.48,4,28.39,1:27.42,3,9.56,1:08.67,2,9.24,1:08.55
1,9.33,1:17.81,4,17.52,1:44.94,3,9.35,1:18.02,2,9.38,1:17.93
0,,PEN,3,11.12,1:56.054,1,9.28,1:27.298,2,9.40,1:27.326
