PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME
2,6.87,6.87,3,6.96,6.96,1,6.75,6.75,4,7.08,7.08
2,8.95,15.82,3,8.88,15.84,1,8.91,15.66,4,8.93,16.01
3,8.43,24.25,2,8.33,24.17,1,8.43,24.09,4,8.45,24.46
3,8.59,32.84,2,8.57,32.74,1,8.55,32.64,4,8.48,32.94
3,8.85,41.675,2,8.81,41.55,1,8.83,41.47,4,8.84,41.767
