POLAND POSITION,POLAND LAP TIME,POLAND ELAPSED TIME,FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME,BELGIUM POSITION,BELGIUM LAP TIME,BELGIUM ELAPSED TIME,CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME
3,12.88,12.88,2,12.62,12.62,1,12.45,12.45,4,13.05,13.05
4,9.31,22.19,2,9.32,21.94,1,9.36,21.81,3,9.02,22.07
4,9.10,31.29,2,9.11,31.05,1,9.12,30.93,3,9.11,31.18
4,9.26,40.55,2,9.12,40.17,1,9.12,40.05,3,9.14,40.32
4,9.01,49.56,2,9.14,49.31,1,9.16,49.21,3,9.15,49.47
4,9.45,59.01,2,9.33,58.64,1,9.28,58.49,3,9.34,58.81
4,9.27,1:08.28,2,9.33,1:07.97,1,9.35,1:07.84,3,9.34,1:08.15
4,9.24,1:17.52,2,9.26,1:17.23,1,9.29,1:17.13,3,9.18,1:17.33
4,9.13,1:26.65,2,9.18,1:26.41,1,9.09,1:26.22,3,9.19,1:26.52
4,9.17,1:35.82,2,9.09,1:35.50,1,9.19,1:35.41,3,9.10,1:35.62
4,9.19,1:45.01,2,9.27,1:44.77,1,9.24,1:44.65,3,9.27,1:44.89
4,9.24,1:54.25,2,9.18,1:53.95,1,9.17,1:53.82,3,9.17,1:54.06
4,9.22,2:03.47,2,9.25,2:03.20,1,8.77,2:02.59,3,9.26,2:03.32
4,9.54,2:13.01,2,9.63,2:12.83,1,10.15,2:12.74,3,9.59,2:12.91
4,9.28,2:22.29,2,9.19,2:22.02,1,9.25,2:21.99,3,9.23,2:22.14
4,9.48,2:31.77,1,9.24,2:31.26,2,9.63,2:31.62,3,9.56,2:31.70
4,9.67,2:41.44,1,9.88,2:41.14,2,9.62,2:41.24,3,9.66,2:41.36
4,9.73,2:51.17,1,9.73,2:50.87,1,9.63,2:50.87,3,9.67,2:51.03
4,9.46,3:00.63,2,9.39,3:00.26,1,9.32,3:00.19,3,9.32,3:00.35
3,9.08,3:09.71,4,9.51,3:09.77,2,9.43,3:09.62,1,9.18,3:09.53
3,9.08,3:18.79,4,9.12,3:18.89,2,9.08,3:18.70,1,9.07,3:18.60
4,9.29,3:28.08,3,9.06,3:27.95,2,9.16,3:27.86,1,9.19,3:27.79
4,9.62,3:37.70,3,9.54,3:37.49,2,9.22,3:37.08,1,9.17,3:36.96
4,9.18,3:46.88,3,9.01,3:46.50,2,9.12,3:46.20,1,9.17,3:46.13
4,9.04,3:55.92,2,8.88,3:55.38,3,9.20,3:55.40,1,8.74,3:54.87
4,9.05,4:04.97,2,8.92,4:04.30,3,9.07,4:04.47,1,9.29,4:04.16
4,8.74,4:13.71,2,8.96,4:13.26,3,8.92,4:13.39,1,9.02,4:13.18
4,9.15,4:22.86,2,9.14,4:22.40,3,9.12,4:22.51,1,9.11,4:22.29
4,9.28,4:32.14,2,9.09,4:31.49,3,9.08,4:31.59,1,9.07,4:31.36
4,8.87,4:41.01,2,9.04,4:40.53,3,9.00,4:40.59,1,9.02,4:40.38
4,9.11,4:50.12,2,8.79,4:49.32,3,8.95,4:49.54,1,8.84,4:49.22
4,9.12,4:59.24,2,8.76,4:58.08,3,8.86,4:58.40,1,8.72,4:57.94
4,9.00,5:08.24,2,8.81,5:06.89,3,8.84,5:07.24,1,8.84,5:06.78
4,9.56,5:17.80,2,9.06,5:15.95,3,9.13,5:16.37,1,9.08,5:15.86
4,9.63,5:27.43,2,9.07,5:25.02,3,9.06,5:25.43,1,8.95,5:24.81
4,9.16,5:36.59,2,9.03,5:34.05,3,8.88,5:34.31,1,8.96,5:33.77
4,9.46,5:46.05,2,8.76,5:42.81,3,8.89,5:43.20,1,8.88,5:42.65
4,9.51,5:55.56,2,8.79,5:51.60,3,9.01,5:52.21,1,8.84,5:51.49
4,9.37,6:04.93,2,8.94,6:00.54,3,9.02,6:01.23,1,8.91,6:00.40
4,9.84,6:14.77,2,9.14,6:09.68,3,9.23,6:10.46,1,9.19,6:09.59
4,9.87,6:24.64,2,9.28,6:18.96,3,9.13,6:19.59,1,9.14,6:18.73
4,9.35,6:33.99,2,9.25,6:28.21,3,9.12,6:28.71,1,9.03,6:27.76
4,9.58,6:43.57,2,8.91,6:37.12,3,9.07,6:37.78,1,8.71,6:36.47
4,9.64,6:53.21,2,8.81,6:45.93,3,9.10,6:46.88,1,8.90,6:45.37
4,9.90,7:03.097,2,8.89,6:54.82,3,9.44,6:56.32,1,8.71,6:54.08
