MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME
4,7.92,7.92,3,7.88,7.88,2,7.68,7.68,5,8.09,8.09,1,7.38,7.38
4,9.87,17.79,3,9.78,17.66,2,9.68,17.36,5,9.85,17.94,1,9.35,16.73
4,9.17,26.96,3,9.17,26.83,2,9.20,26.56,5,9.19,27.13,1,8.93,25.66
4,9.16,36.12,3,9.27,36.10,2,9.43,35.99,5,9.19,36.32,1,9.15,34.81
5,20.11,56.23,2,10.07,46.17,4,10.51,46.50,3,9.96,46.28,1,9.42,44.23
