Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,Evita KRIEVANE POSITION,Evita KRIEVANE LAP TIME,Evita KRIEVANE ELAPSED TIME
4,9.75,9.75,5,9.93,9.93,1,9.48,9.48,2,9.60,9.60,3,9.67,9.67
4,14.46,24.21,5,14.49,24.42,1,14.31,23.79,2,14.31,23.91,3,14.32,23.99
4,14.06,38.27,5,14.11,38.53,1,14.00,37.79,2,14.00,37.91,3,14.05,38.04
5,12.83,51.10,4,12.53,51.06,2,12.96,50.75,1,12.73,50.64,3,12.86,50.90
4,11.30,1:02.40,2,11.20,1:02.26,3,11.56,1:02.31,1,11.58,1:02.22,5,11.52,1:02.42
1,10.56,1:12.96,3,10.86,1:13.12,2,10.75,1:13.06,4,10.95,1:13.17,5,10.88,1:13.30
1,11.09,1:24.05,3,11.18,1:24.30,2,11.09,1:24.15,4,11.22,1:24.39,5,11.20,1:24.50
1,11.13,1:35.18,2,11.03,1:35.33,3,11.29,1:35.44,4,11.17,1:35.56,5,11.15,1:35.65
1,10.68,1:45.86,2,10.68,1:46.01,3,10.69,1:46.13,4,10.69,1:46.25,5,10.70,1:46.35
1,10.20,1:56.06,2,10.20,1:56.21,3,10.18,1:56.31,4,10.16,1:56.41,5,10.21,1:56.56
1,9.88,2:05.94,2,9.90,2:06.11,3,9.91,2:06.22,4,9.93,2:06.34,5,10.01,2:06.57
1,9.70,2:15.64,2,9.67,2:15.78,3,9.68,2:15.90,4,9.56,2:15.90,5,10.32,2:16.89
2,9.60,2:25.24,1,9.28,2:25.06,4,9.94,2:25.84,3,9.66,2:25.56,5,10.97,2:27.86
2,9.70,2:34.931,1,9.59,2:34.642,4,10.25,2:36.082,3,9.87,2:35.425,5,11.59,2:39.444
