ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,Louise MILESI POSITION,Louise MILESI LAP TIME,Louise MILESI ELAPSED TIME,Anastassiya KRESTOVA POSITION,Anastassiya KRESTOVA LAP TIME,Anastassiya KRESTOVA ELAPSED TIME
2,14.68,14.68,1,14.60,14.60,4,14.89,14.89,5,14.97,14.97,3,14.78,14.78
2,11.58,26.26,1,11.64,26.24,4,11.64,26.53,5,11.58,26.55,3,11.63,26.41
3,10.60,36.86,2,10.49,36.73,1,9.96,36.49,5,10.58,37.13,4,10.58,36.99
3,9.59,46.45,1,9.65,46.38,2,9.90,46.39,5,9.66,46.79,4,9.59,46.58
4,9.82,56.27,1,9.58,55.96,2,9.68,56.07,5,9.60,56.39,3,9.62,56.20
4,23.81,1:20.08,1,9.73,1:05.69,5,27.80,1:23.87,3,9.87,1:06.26,2,9.96,1:06.16
5,31.84,1:51.92,1,9.88,1:15.57,4,24.92,1:48.79,3,9.90,1:16.16,2,9.75,1:15.91
5,15.71,2:07.63,1,10.00,1:25.57,4,14.80,2:03.59,3,10.04,1:26.20,2,9.83,1:25.74
5,13.17,2:20.793,1,10.14,1:35.704,4,13.14,2:16.724,3,10.26,1:36.453,2,10.14,1:35.876
