Gleb IVCHENKO POSITION,Gleb IVCHENKO LAP TIME,Gleb IVCHENKO ELAPSED TIME,TENZER Robin POSITION,TENZER Robin LAP TIME,TENZER Robin ELAPSED TIME,KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,KANCHARIN Natthapat POSITION,KANCHARIN Natthapat LAP TIME,KANCHARIN Natthapat ELAPSED TIME
2,13.32,13.32,1,13.17,13.17,4,13.58,13.58,3,13.44,13.44
2,9.65,22.97,1,9.64,22.81,4,9.61,23.19,3,9.64,23.08
2,9.35,32.32,1,9.38,32.19,4,9.30,32.49,3,9.32,32.40
1,9.32,41.64,2,9.50,41.69,3,9.32,41.81,4,9.59,41.99
1,9.36,51.00,3,9.51,51.20,2,9.26,51.07,4,9.31,51.30
2,9.31,1:00.31,3,9.40,1:00.60,1,9.08,1:00.15,4,9.46,1:00.76
2,9.15,1:09.46,3,9.44,1:10.04,1,9.10,1:09.25,4,9.48,1:10.24
2,9.50,1:18.96,3,9.51,1:19.55,1,9.24,1:18.49,4,9.82,1:20.06
2,9.94,1:28.90,3,9.59,1:29.14,1,9.66,1:28.15,4,10.13,1:30.19
