Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Samuel BELANGER-MARCEAU POSITION,Samuel BELANGER-MARCEAU LAP TIME,Samuel BELANGER-MARCEAU ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Necmettin Berk YETISKEN POSITION,Necmettin Berk YETISKEN LAP TIME,Necmettin Berk YETISKEN ELAPSED TIME
1,13.21,13.21,3,13.44,13.44,4,13.59,13.59,2,13.31,13.31
1,10.75,23.96,2,10.64,24.08,4,10.74,24.33,3,10.78,24.09
1,10.14,34.10,2,10.11,34.19,3,9.97,34.30,4,10.41,34.50
2,9.78,43.88,1,9.58,43.77,3,9.72,44.02,4,9.74,44.24
1,9.27,53.15,2,9.39,53.16,3,9.38,53.40,4,9.29,53.53
1,8.92,1:02.07,2,9.00,1:02.16,3,8.87,1:02.27,4,9.19,1:02.72
1,8.89,1:10.96,2,8.89,1:11.05,3,8.88,1:11.15,4,9.38,1:12.10
1,9.00,1:19.96,2,8.93,1:19.98,3,9.00,1:20.15,4,9.45,1:21.55
2,9.19,1:29.143,1,9.07,1:29.047,3,9.09,1:29.233,4,9.71,1:31.260
