Jean-Francois MONETTE POSITION,Jean-Francois MONETTE LAP TIME,Jean-Francois MONETTE ELAPSED TIME,Tomonori IKE POSITION,Tomonori IKE LAP TIME,Tomonori IKE ELAPSED TIME,Jarmil HRUZA POSITION,Jarmil HRUZA LAP TIME,Jarmil HRUZA ELAPSED TIME,Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME
3,13.871,13.871,1,13.708,13.708,4,13.912,13.912,2,13.785,13.785
4,10.886,24.757,2,10.817,24.525,3,10.780,24.692,1,10.652,24.436
4,10.599,35.355,1,10.467,34.991,3,10.631,35.323,2,10.721,35.157
4,9.735,45.089,2,10.057,45.048,1,9.528,44.850,3,9.904,45.061
2,9.353,54.442,4,9.479,54.527,1,9.560,54.410,3,9.401,54.461
1,9.167,1:03.609,2,9.205,1:03.731,4,9.769,1:04.179,3,9.372,1:03.833
1,9.394,1:13.003,3,9.455,1:13.185,4,9.588,1:13.766,2,9.253,1:13.085
1,9.282,1:22.284,3,9.319,1:22.504,4,10.401,1:24.166,2,9.362,1:22.447
1,9.64,1:31.916,0,,DQ,3,11.73,1:35.891,2,9.50,1:31.947
