HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME
1,6.92,6.92,2,7.06,7.06,4,7.37,7.37,3,7.23,7.23
1,8.74,15.66,2,8.82,15.88,4,8.86,16.23,3,8.87,16.10
1,8.56,24.22,2,8.44,24.32,4,8.42,24.65,3,8.42,24.52
2,8.75,32.97,1,8.64,32.96,4,8.62,33.27,3,8.52,33.04
3,9.35,42.312,1,8.81,41.765,4,9.11,42.371,2,8.88,41.920
