PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Elisa LENKE POSITION,Elisa LENKE LAP TIME,Elisa LENKE ELAPSED TIME,Julie JUNG POSITION,Julie JUNG LAP TIME,Julie JUNG ELAPSED TIME
1,14.28,14.28,3,14.49,14.49,4,14.61,14.61,2,14.38,14.38
1,10.85,25.13,3,10.82,25.31,4,10.74,25.35,2,10.83,25.21
1,10.68,35.81,3,10.75,36.06,4,10.89,36.24,2,10.71,35.92
1,10.62,46.43,3,10.55,46.61,4,10.47,46.71,2,10.63,46.55
1,10.14,56.57,3,10.13,56.74,4,10.12,56.83,2,10.09,56.64
1,10.21,1:06.78,3,10.22,1:06.96,4,10.26,1:07.09,2,10.24,1:06.88
1,10.08,1:16.86,2,9.91,1:16.87,4,10.05,1:17.14,3,10.07,1:16.95
2,9.81,1:26.67,1,9.70,1:26.57,3,10.38,1:27.52,4,11.95,1:28.90
2,10.11,1:36.780,1,10.16,1:36.727,3,10.73,1:38.245,4,13.52,1:42.413
