Kaloyan ANGELOV POSITION,Kaloyan ANGELOV LAP TIME,Kaloyan ANGELOV ELAPSED TIME,DJORDJEVIC Jovan POSITION,DJORDJEVIC Jovan LAP TIME,DJORDJEVIC Jovan ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,ARADHYA Akash POSITION,ARADHYA Akash LAP TIME,ARADHYA Akash ELAPSED TIME
2,13.02,13.02,1,12.86,12.86,4,13.30,13.30,3,13.14,13.14
2,9.76,22.78,1,9.79,22.65,4,9.71,23.01,3,9.76,22.90
2,9.68,32.46,1,9.69,32.34,4,9.68,32.69,3,9.68,32.58
3,9.67,42.13,1,9.67,42.01,2,9.42,42.11,4,9.70,42.28
4,9.92,52.05,2,9.53,51.54,1,9.21,51.32,3,9.65,51.93
4,9.81,1:01.86,2,9.66,1:01.20,1,9.38,1:00.70,3,9.60,1:01.53
4,10.14,1:12.00,2,9.94,1:11.14,1,9.74,1:10.44,3,9.74,1:11.27
4,10.55,1:22.55,2,10.17,1:21.31,1,9.88,1:20.32,3,10.19,1:21.46
4,10.96,1:33.511,2,10.56,1:31.874,1,9.96,1:30.282,3,10.95,1:32.418
