MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,Alison DESMARAIS POSITION,Alison DESMARAIS LAP TIME,Alison DESMARAIS ELAPSED TIME,BOTTER GOMEZ Nicole POSITION,BOTTER GOMEZ Nicole LAP TIME,BOTTER GOMEZ Nicole ELAPSED TIME,MAZUR Nicole POSITION,MAZUR Nicole LAP TIME,MAZUR Nicole ELAPSED TIME
1,7.15,7.15,2,7.30,7.30,3,7.37,7.37,4,7.57,7.57,5,7.70,7.70
1,9.15,16.30,2,9.18,16.48,3,9.35,16.72,4,9.28,16.85,5,9.30,17.00
1,8.57,24.87,2,8.52,25.00,5,21.71,38.43,3,8.87,25.72,4,8.82,25.82
2,8.99,33.86,1,8.80,33.80,5,12.32,50.75,3,9.06,34.78,4,8.98,34.80
2,9.20,43.06,1,9.16,42.96,5,10.51,1:01.264,3,9.55,44.33,4,10.39,45.190
