Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME
1,6.50,6.50,3,6.87,6.87,2,6.85,6.85,4,7.01,7.01
1,9.07,15.57,3,9.13,16.00,2,9.01,15.86,4,9.12,16.13
1,8.04,23.61,3,8.33,24.33,2,8.22,24.08,4,8.41,24.54
1,8.82,32.43,3,8.46,32.79,2,8.50,32.58,4,8.29,32.83
1,8.84,41.265,0,,DQ,3,9.20,41.776,2,8.73,41.553
