Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME
2,12.67,12.67,3,12.82,12.82,4,12.98,12.98,5,13.16,13.16,1,12.65,12.65
4,9.63,22.30,3,9.45,22.27,1,9.04,22.02,5,9.22,22.39,2,9.42,22.08
3,9.27,31.58,4,9.33,31.61,1,8.87,30.90,5,9.31,31.71,2,9.30,31.38
4,9.30,40.88,3,9.23,40.85,1,9.36,40.26,5,9.24,40.96,2,9.19,40.58
5,9.20,50.08,3,9.02,49.87,1,9.29,49.56,4,9.01,49.97,2,9.16,49.74
2,8.80,58.88,3,9.03,58.91,1,9.12,58.68,4,8.95,58.93,0,,
4,8.98,1:07.86,5,9.00,1:07.91,1,8.88,1:07.56,3,8.85,1:07.78,2,0.00,1:07.66
3,9.04,1:16.91,5,9.17,1:17.08,2,9.25,1:16.82,4,9.13,1:16.91,1,9.12,1:16.78
2,9.41,1:26.320,4,9.36,1:26.439,3,9.59,1:26.409,1,9.31,1:26.220,5,9.98,1:26.751
