DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Alex BRYANT POSITION,Alex BRYANT LAP TIME,Alex BRYANT ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME
4,10.31,10.31,3,10.15,10.15,5,10.50,10.50,2,10.12,10.12,1,9.94,9.94,6,10.66,10.66
4,12.91,23.22,2,12.83,22.98,5,12.85,23.35,3,12.97,23.09,1,12.86,22.80,6,12.82,23.48
4,12.03,35.25,2,12.02,35.00,5,12.07,35.42,3,12.05,35.14,1,12.03,34.83,6,12.05,35.53
4,11.43,46.68,2,11.46,46.46,5,11.41,46.83,3,11.41,46.55,1,11.48,46.31,6,11.42,46.95
4,10.96,57.64,2,11.03,57.49,5,10.92,57.75,3,11.07,57.62,1,11.05,57.36,6,10.93,57.88
3,9.72,1:07.36,4,10.01,1:07.50,1,9.52,1:07.27,5,10.00,1:07.62,2,9.92,1:07.28,6,9.85,1:07.73
2,9.81,1:17.17,4,9.81,1:17.31,1,9.82,1:17.09,5,9.90,1:17.52,3,9.90,1:17.18,6,9.89,1:17.62
2,10.02,1:27.19,4,10.06,1:27.37,1,10.01,1:27.10,5,9.94,1:27.46,3,10.11,1:27.29,6,9.95,1:27.57
1,9.78,1:36.97,4,9.84,1:37.21,2,9.91,1:37.01,5,9.86,1:37.32,3,9.82,1:37.11,6,9.87,1:37.44
2,9.64,1:46.61,6,9.60,1:46.81,1,9.58,1:46.59,3,9.32,1:46.64,4,9.56,1:46.67,5,9.25,1:46.69
5,9.42,1:56.03,6,9.44,1:56.25,1,9.06,1:55.65,3,9.16,1:55.80,4,9.26,1:55.93,2,9.06,1:55.75
5,9.36,2:05.39,6,9.51,2:05.76,2,9.15,2:04.80,4,9.33,2:05.13,3,9.09,2:05.02,1,8.94,2:04.69
5,9.45,2:14.84,6,9.83,2:15.59,1,8.98,2:13.78,4,9.26,2:14.39,3,9.24,2:14.26,2,9.26,2:13.95
5,10.04,2:24.88,6,10.43,2:26.02,1,9.16,2:22.94,4,9.77,2:24.16,3,9.62,2:23.88,2,9.40,2:23.35
