Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME
1,13.05,13.05,3,13.29,13.29,2,13.18,13.18,4,13.42,13.42
1,10.16,23.21,3,10.14,23.43,2,10.14,23.32,4,10.12,23.54
1,9.80,33.01,4,9.77,33.20,2,9.77,33.09,3,9.63,33.17
1,9.59,42.60,4,9.66,42.86,3,9.58,42.67,2,9.48,42.65
1,9.31,51.91,4,9.34,52.20,3,9.44,52.11,2,9.38,52.03
2,9.29,1:01.20,4,9.26,1:01.46,3,9.20,1:01.31,1,9.16,1:01.19
3,9.05,1:10.25,4,8.88,1:10.34,2,8.88,1:10.19,1,8.94,1:10.13
3,9.65,1:19.90,2,9.38,1:19.72,4,29.47,1:39.66,1,9.22,1:19.35
0,,PEN,2,9.69,1:29.401,3,15.39,1:55.047,1,9.42,1:28.761
