JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,PIVIROTTO Ryan POSITION,PIVIROTTO Ryan LAP TIME,PIVIROTTO Ryan ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME
1,6.80,6.80,3,7.15,7.15,2,7.05,7.05,4,7.37,7.37
1,8.80,15.60,3,8.84,15.99,2,8.76,15.81,4,8.75,16.12
1,8.48,24.08,3,8.27,24.26,2,8.32,24.13,4,8.22,24.34
4,8.84,32.92,2,8.37,32.63,1,8.48,32.61,3,8.57,32.91
4,9.14,42.063,1,8.60,41.23,0,,PHOTO,3,,41.378
