SONG Yang POSITION,SONG Yang LAP TIME,SONG Yang ELAPSED TIME,KIKUCHI Yuki POSITION,KIKUCHI Yuki LAP TIME,KIKUCHI Yuki ELAPSED TIME,SOMOGYI Barbara POSITION,SOMOGYI Barbara LAP TIME,SOMOGYI Barbara ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,STORMOWSKA Kamila POSITION,STORMOWSKA Kamila LAP TIME,STORMOWSKA Kamila ELAPSED TIME,DAUDET Gwendoline POSITION,DAUDET Gwendoline LAP TIME,DAUDET Gwendoline ELAPSED TIME
5,10.95,10.95,4,10.69,10.69,2,10.34,10.34,6,11.12,11.12,3,10.53,10.53,1,10.22,10.22
3,13.69,24.64,4,13.96,24.65,2,14.27,24.61,6,13.92,25.04,5,14.29,24.82,1,14.27,24.49
4,12.30,36.94,1,11.84,36.49,5,12.40,37.01,6,12.15,37.19,3,11.85,36.67,2,12.08,36.57
4,12.06,49.00,1,12.08,48.57,5,12.13,49.14,6,12.02,49.21,3,12.09,48.76,2,12.08,48.65
4,12.44,1:01.44,1,12.30,1:00.87,5,12.42,1:01.56,6,12.48,1:01.69,3,12.39,1:01.15,2,12.36,1:01.01
4,12.01,1:13.45,1,12.23,1:13.10,5,12.03,1:13.59,6,11.98,1:13.67,3,12.13,1:13.28,2,12.18,1:13.19
4,11.67,1:25.12,1,11.82,1:24.92,5,11.71,1:25.30,6,11.77,1:25.44,3,11.83,1:25.11,2,11.80,1:24.99
1,9.47,1:34.59,3,9.86,1:34.78,5,9.69,1:34.99,6,9.70,1:35.14,4,9.76,1:34.87,2,9.78,1:34.77
1,9.49,1:44.08,4,9.53,1:44.31,5,9.44,1:44.43,6,9.36,1:44.50,3,9.41,1:44.28,2,9.41,1:44.18
1,9.67,1:53.75,4,9.71,1:54.02,5,9.68,1:54.11,6,9.74,1:54.24,3,9.65,1:53.93,2,9.65,1:53.83
3,10.00,2:03.75,4,9.76,2:03.78,5,9.70,2:03.81,6,9.66,2:03.90,2,9.78,2:03.71,1,9.83,2:03.66
3,9.96,2:13.71,6,10.45,2:14.23,5,10.38,2:14.19,4,9.89,2:13.79,2,9.95,2:13.66,1,9.95,2:13.61
1,9.76,2:23.47,5,10.24,2:24.47,6,10.58,2:24.77,4,10.14,2:23.93,3,10.11,2:23.77,2,10.09,2:23.70
1,10.08,2:33.55,5,10.38,2:34.852,6,10.78,2:35.559,4,10.18,2:34.119,3,10.27,2:34.044,2,10.17,2:33.876
