KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Kyle CARR POSITION,Kyle CARR LAP TIME,Kyle CARR ELAPSED TIME
4,7.41,7.41,1,6.93,6.93,2,7.10,7.10,3,7.23,7.23
4,9.16,16.57,1,9.09,16.02,2,9.07,16.17,3,9.10,16.33
3,8.25,24.82,2,8.53,24.55,1,8.32,24.49,4,8.56,24.89
3,8.40,33.22,2,8.58,33.13,1,8.53,33.02,4,8.60,33.49
3,8.58,41.795,2,8.63,41.754,1,8.67,41.689,4,8.90,42.387
