SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,Hailey CHOI POSITION,Hailey CHOI LAP TIME,Hailey CHOI ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,ZHANG Chutong POSITION,ZHANG Chutong LAP TIME,ZHANG Chutong ELAPSED TIME
2,13.10,13.10,5,13.47,13.47,4,13.36,13.36,1,12.98,12.98,3,13.25,13.25
2,9.50,22.60,5,9.40,22.87,4,9.42,22.78,1,9.52,22.50,3,9.44,22.69
4,9.38,31.98,5,9.28,32.15,3,9.19,31.97,1,9.22,31.72,2,9.16,31.85
4,9.25,41.23,5,9.21,41.36,3,9.09,41.06,1,9.08,40.80,2,9.05,40.90
4,9.15,50.38,5,9.18,50.54,3,9.11,50.17,1,9.14,49.94,2,9.12,50.02
4,9.24,59.62,5,9.33,59.87,3,9.15,59.32,1,9.23,59.17,2,9.17,59.19
4,9.50,1:09.12,5,9.62,1:09.49,2,9.37,1:08.69,2,9.52,1:08.69,1,9.35,1:08.54
4,9.73,1:18.85,5,10.05,1:19.54,2,9.43,1:18.12,3,9.57,1:18.26,1,9.47,1:18.01
4,9.90,1:28.75,5,10.47,1:30.01,2,9.73,1:27.85,3,9.71,1:27.97,1,9.70,1:27.71
