RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME,UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME,FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME,BELGIUM POSITION,BELGIUM LAP TIME,BELGIUM ELAPSED TIME
2,12.43,12.43,1,12.19,12.19,3,12.78,12.78,4,12.88,12.88
2,9.15,21.58,1,9.15,21.34,3,8.93,21.71,4,9.19,22.07
2,8.94,30.52,1,9.03,30.37,3,8.98,30.69,4,9.09,31.16
2,8.79,39.31,1,8.84,39.21,3,8.83,39.52,4,8.79,39.95
1,8.85,48.16,1,8.95,48.16,3,8.94,48.46,4,8.78,48.73
1,8.78,56.94,2,8.89,57.05,3,8.69,57.15,4,8.61,57.34
1,8.46,1:05.40,2,8.38,1:05.43,3,8.43,1:05.58,4,8.37,1:05.71
1,8.41,1:13.81,2,8.51,1:13.94,3,8.44,1:14.02,4,8.46,1:14.17
1,8.56,1:22.37,2,8.52,1:22.46,3,8.51,1:22.53,4,8.37,1:22.54
1,8.59,1:30.96,2,8.71,1:31.17,3,8.75,1:31.28,4,8.82,1:31.36
1,9.02,1:39.98,2,8.84,1:40.01,3,8.95,1:40.23,4,9.35,1:40.71
2,9.22,1:49.20,1,9.07,1:49.08,3,9.06,1:49.29,4,9.46,1:50.17
2,9.46,1:58.66,1,9.48,1:58.56,3,9.47,1:58.76,4,9.31,1:59.48
2,9.40,2:08.06,1,9.41,2:07.97,3,9.40,2:08.16,4,9.20,2:08.68
2,9.04,2:17.10,1,8.94,2:16.91,2,8.94,2:17.10,4,8.82,2:17.50
2,8.77,2:25.87,1,8.72,2:25.63,3,8.96,2:26.06,4,8.64,2:26.14
2,8.46,2:34.33,1,8.61,2:34.24,3,8.50,2:34.56,4,8.55,2:34.69
1,8.44,2:42.77,0,8.64,2:42.88,4,8.70,2:43.264,0,8.21,2:42.90
