Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME
2,9.180,9.180,4,9.900,9.900,3,9.460,9.460,5,10.230,10.230,1,8.960,8.960
1,12.020,21.200,3,12.210,22.120,4,13.230,22.700,5,12.530,22.770,2,12.470,21.430
1,11.570,32.770,5,11.640,33.760,2,10.120,32.820,4,10.860,33.630,3,12.060,33.500
1,11.460,44.240,4,11.380,45.140,3,12.310,45.140,5,11.710,45.350,2,11.240,44.740
1,10.990,55.230,4,10.530,55.680,3,10.430,55.570,5,10.680,56.030,2,10.810,55.560
1,10.630,1:05.870,4,10.490,1:06.170,2,10.530,1:06.100,5,10.450,1:06.490,3,10.590,1:06.150
3,10.540,1:16.420,4,10.280,1:16.450,5,10.480,1:16.590,2,9.690,1:16.180,1,9.990,1:16.140
3,10.280,1:26.710,5,10.520,1:26.980,2,9.970,1:26.560,1,9.890,1:26.080,4,10.690,1:26.830
1,10.520,1:37.230,2,10.370,1:37.350,5,11.210,1:37.770,4,11.460,1:37.540,3,10.540,1:37.380
2,9.810,1:47.040,4,10.150,1:47.500,5,9.870,1:47.650,3,9.700,1:47.250,1,9.500,1:46.880
4,10.010,1:57.060,5,9.830,1:57.330,3,9.380,1:57.030,2,9.400,1:56.650,1,9.580,1:56.460
4,10.410,2:07.470,5,10.200,2:07.530,3,9.780,2:06.810,2,9.760,2:06.420,1,9.720,2:06.190
5,11.190,2:18.670,4,9.830,2:17.360,3,9.790,2:16.610,2,9.950,2:16.370,1,9.460,2:15.650
5,11.360,2:30.030,4,10.950,2:28.320,3,10.180,2:26.800,2,10.130,2:26.500,1,10.220,2:25.870
