Tamas TUTRAI POSITION,Tamas TUTRAI LAP TIME,Tamas TUTRAI ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Jeremy BECK POSITION,Jeremy BECK LAP TIME,Jeremy BECK ELAPSED TIME
0,8.822,8.822,0,9.085,9.085,0,9.091,9.091,0,8.892,8.892,0,7.128,7.128
0,13.847,22.669,0,13.939,23.023,0,13.316,22.407,0,13.765,22.657,0,15.100,22.228
0,12.163,34.832,0,11.912,34.936,0,11.977,34.384,0,11.907,34.565,0,11.399,33.627
0,11.560,46.392,0,11.727,46.662,0,11.741,46.125,0,11.796,46.361,0,11.944,45.571
0,9.976,56.368,0,9.889,56.552,0,10.270,56.395,0,10.029,56.390,0,9.964,55.534
0,9.715,1:06.083,0,9.678,1:06.230,0,9.963,1:06.358,0,9.798,1:06.187,0,9.965,1:05.499
0,10.178,1:16.261,0,9.875,1:16.105,0,9.833,1:16.191,0,10.053,1:16.240,0,9.610,1:15.109
0,9.864,1:26.125,0,10.013,1:26.118,0,9.981,1:26.171,0,10.316,1:26.556,0,9.700,1:24.809
0,10.328,1:36.453,0,10.394,1:36.512,0,10.234,1:36.405,0,10.123,1:36.679,0,10.845,1:35.654
0,10.111,1:46.564,0,10.405,1:46.917,0,10.413,1:46.818,0,10.381,1:47.060,0,10.536,1:46.190
0,10.103,1:56.668,0,10.023,1:56.939,0,10.208,1:57.026,0,10.470,1:57.530,0,10.095,1:56.285
0,10.175,2:06.843,0,10.097,2:07.036,0,10.087,2:07.113,0,10.647,2:08.177,0,10.313,2:06.598
0,10.222,2:17.065,0,10.265,2:17.302,0,10.162,2:17.274,0,11.280,2:19.457,0,10.272,2:16.870
0,10.434,2:27.499,0,10.323,2:27.625,0,10.314,2:27.588,0,12.160,2:31.616,0,10.069,2:26.940
