Tamara FREDERICK POSITION,Tamara FREDERICK LAP TIME,Tamara FREDERICK ELAPSED TIME,Magdalena WARAKOMSKA POSITION,Magdalena WARAKOMSKA LAP TIME,Magdalena WARAKOMSKA ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME
1,15.21,15.21,2,15.37,15.37,4,15.68,15.68,3,15.49,15.49
1,12.12,27.33,3,12.05,27.42,4,11.88,27.56,2,11.90,27.39
2,10.70,38.03,3,10.65,38.07,4,10.67,38.23,1,10.52,37.91
3,10.34,48.37,4,10.52,48.59,2,10.05,48.28,1,10.25,48.16
3,10.07,58.44,4,9.92,58.51,2,10.03,58.31,1,10.04,58.20
3,9.80,1:08.24,4,9.86,1:08.37,2,9.84,1:08.15,1,9.85,1:08.05
3,9.82,1:18.06,4,9.80,1:18.17,2,9.72,1:17.87,1,9.82,1:17.87
3,9.71,1:27.77,4,9.98,1:28.15,1,9.57,1:27.44,2,9.75,1:27.62
3,9.57,1:37.332,4,10.26,1:38.403,1,9.80,1:37.238,2,9.63,1:37.246
