CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME
2,13.16,13.16,4,13.29,13.29,3,13.17,13.17,1,13.10,13.10,5,13.37,13.37
1,10.30,23.46,4,10.43,23.72,5,10.57,23.74,2,10.47,23.57,3,10.29,23.66
3,10.05,33.51,1,9.68,33.40,5,9.88,33.62,2,9.85,33.42,4,9.95,33.61
3,9.84,43.35,1,9.72,43.12,4,9.91,43.53,2,9.80,43.22,5,10.01,43.62
3,10.21,53.56,1,10.22,53.34,4,10.13,53.66,2,10.22,53.44,5,10.12,53.74
3,10.33,1:03.89,1,10.38,1:03.72,5,10.38,1:04.04,2,10.39,1:03.83,4,10.27,1:04.01
4,10.13,1:14.02,2,10.15,1:13.87,3,9.97,1:14.01,1,9.81,1:13.64,5,10.11,1:14.12
3,10.03,1:24.05,2,10.14,1:24.01,4,10.07,1:24.08,1,9.92,1:23.56,5,10.41,1:24.53
2,9.91,1:33.953,3,10.24,1:34.242,4,10.45,1:34.527,1,10.22,1:33.772,5,11.21,1:35.736
