Audrey PHANEUF POSITION,Audrey PHANEUF LAP TIME,Audrey PHANEUF ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME
2,7.67,7.67,3,7.86,7.86,1,7.52,7.52,4,8.05,8.05
2,10.20,17.87,3,10.09,17.95,1,10.22,17.74,4,10.15,18.20
3,9.85,27.72,1,9.52,27.47,2,9.95,27.69,4,9.71,27.91
3,10.16,37.88,1,9.72,37.19,2,9.80,37.49,4,10.18,38.09
0,,PEN,1,9.81,46.994,2,9.73,47.221,3,10.09,48.171
