Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
4,7.44,7.44,3,7.31,7.31,1,6.96,6.96,2,7.15,7.15
4,8.95,16.39,3,8.94,16.25,1,8.85,15.81,2,8.76,15.91
4,8.50,24.89,3,8.31,24.56,1,8.66,24.47,2,8.64,24.55
2,8.78,33.67,3,9.52,34.08,1,8.85,33.32,4,9.54,34.09
2,8.90,42.566,0,,PEN,1,8.91,42.230,3,9.15,43.234
