Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME
1,6.48,6.48,2,6.79,6.79,3,6.86,6.86,4,7.10,7.10
1,9.30,15.78,2,9.19,15.99,3,9.26,16.12,4,9.26,16.37
1,8.89,24.68,2,8.76,24.75,3,8.71,24.84,4,8.67,25.04
1,8.90,33.58,2,8.86,33.62,3,8.97,33.82,4,8.98,34.02
0,,DQ,3,35.47,1:09.081,2,9.58,43.398,1,9.05,43.064
