LEE So-Hee POSITION,LEE So-Hee LAP TIME,LEE So-Hee ELAPSED TIME,Annik PLAMONDON POSITION,Annik PLAMONDON LAP TIME,Annik PLAMONDON ELAPSED TIME,Myrtille GOLLIN POSITION,Myrtille GOLLIN LAP TIME,Myrtille GOLLIN ELAPSED TIME,MENG Xiaoxue POSITION,MENG Xiaoxue LAP TIME,MENG Xiaoxue ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME
0,9.684,9.684,0,9.364,9.364,0,9.702,9.702,0,10.304,10.304,0,10.084,10.084,0,9.593,9.593
0,14.162,23.846,0,13.998,23.363,0,13.776,23.477,0,13.792,24.096,0,13.835,23.919,0,13.841,23.434
0,11.998,35.844,0,12.108,35.470,0,12.027,35.504,0,11.819,35.915,0,11.745,35.664,0,11.959,35.393
0,11.472,47.316,0,11.464,46.935,0,11.475,46.979,0,11.482,47.398,0,11.045,46.709,0,11.148,46.541
0,11.814,59.130,0,11.719,58.653,0,11.667,58.646,0,11.799,59.197,0,11.951,58.660,0,12.447,58.988
0,11.425,1:10.555,0,11.538,1:10.191,0,11.551,1:10.197,0,11.428,1:10.625,0,11.469,1:10.129,0,11.116,1:10.104
0,11.144,1:21.699,0,11.236,1:21.427,0,11.174,1:21.371,0,11.265,1:21.890,0,11.032,1:21.161,0,11.245,1:21.349
0,10.561,1:32.260,0,10.176,1:31.602,0,10.463,1:31.834,0,10.437,1:32.327,0,10.529,1:31.690,0,10.809,1:32.157
0,10.328,1:42.588,0,10.390,1:41.993,0,10.348,1:42.182,0,10.284,1:42.610,0,10.289,1:41.979,0,10.173,1:42.330
0,10.431,1:53.019,0,10.507,1:52.500,0,10.435,1:52.616,0,10.404,1:53.014,0,10.500,1:52.479,0,10.599,1:52.929
0,10.012,2:03.031,0,10.272,2:02.771,0,10.216,2:02.832,0,10.158,2:03.172,0,10.154,2:02.633,0,10.421,2:03.350
0,10.029,2:13.060,0,10.175,2:12.946,0,9.865,2:12.697,0,9.765,2:12.937,0,9.808,2:12.440,0,10.995,2:14.344
0,9.760,2:22.820,0,10.037,2:22.983,0,10.139,2:22.836,0,9.800,2:22.736,0,10.408,2:22.848,0,11.252,2:25.597
0,,,0,,,0,,,0,,,0,,,0,,
