Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Gregory DURAND POSITION,Gregory DURAND LAP TIME,Gregory DURAND ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Andrey SMETANIN POSITION,Andrey SMETANIN LAP TIME,Andrey SMETANIN ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME
1,9.380,9.380,4,9.930,9.930,3,9.880,9.880,2,9.400,9.400,5,10.160,10.160,6,10.180,10.180
1,14.410,23.800,4,14.400,24.330,3,14.380,24.260,2,14.510,23.910,6,14.400,24.560,5,14.370,24.560
1,13.990,37.790,3,13.780,38.110,4,14.000,38.260,2,13.970,37.880,6,13.910,38.480,5,13.880,38.440
1,13.970,51.770,3,13.980,52.100,4,13.830,52.100,2,13.970,51.860,5,14.000,52.480,6,14.050,52.490
1,13.620,1:05.400,4,13.680,1:05.780,3,13.410,1:05.520,2,13.640,1:05.500,5,13.340,1:05.820,6,13.420,1:05.920
3,11.710,1:17.110,5,11.540,1:17.330,1,11.370,1:16.890,4,11.630,1:17.140,2,11.150,1:16.970,6,11.530,1:17.450
2,10.370,1:27.490,1,10.080,1:27.410,4,10.630,1:27.520,5,10.470,1:27.610,3,10.530,1:27.510,6,10.320,1:27.770
3,9.880,1:37.380,1,9.600,1:37.010,4,9.970,1:37.500,5,9.980,1:37.590,2,9.820,1:37.330,6,10.000,1:37.780
2,9.930,1:47.310,1,10.210,1:47.230,4,9.910,1:47.410,5,9.920,1:47.510,3,10.050,1:47.390,6,9.850,1:47.630
1,9.990,1:57.300,2,10.240,1:57.470,5,10.150,1:57.570,4,10.030,1:57.550,3,10.110,1:57.500,6,10.170,1:57.800
1,10.240,2:07.540,3,10.260,2:07.740,5,10.460,2:08.040,4,10.230,2:07.780,2,10.190,2:07.700,6,10.430,2:08.240
1,10.340,2:17.880,3,10.310,2:18.050,5,10.140,2:18.180,2,10.260,2:18.050,4,10.400,2:18.100,6,10.210,2:18.450
1,10.310,2:28.200,2,10.300,2:28.360,5,10.510,2:28.690,3,10.480,2:28.530,4,10.460,2:28.560,6,10.470,2:28.920
1,10.420,2:38.630,2,10.350,2:38.710,5,10.690,2:39.380,3,10.400,2:38.940,4,10.720,2:39.290,6,10.930,2:39.860
