Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Myukerrem TOP POSITION,Myukerrem TOP LAP TIME,Myukerrem TOP ELAPSED TIME
2,12.97,12.97,1,12.76,12.76,3,13.05,13.05,4,13.16,13.16,5,13.45,13.45
2,10.25,23.22,1,10.30,23.06,3,10.30,23.35,4,10.28,23.44,5,10.11,23.56
2,10.12,33.34,1,10.17,33.23,3,10.08,33.43,4,10.14,33.58,5,10.13,33.69
3,9.82,43.16,1,9.81,43.04,2,9.66,43.09,4,9.68,43.26,5,9.71,43.40
3,9.63,52.79,1,9.46,52.50,2,9.49,52.58,4,9.58,52.84,5,9.53,52.93
2,9.51,1:02.30,1,9.61,1:02.11,5,28.18,1:20.76,3,9.75,1:02.59,4,9.94,1:02.87
2,9.51,1:11.81,1,9.53,1:11.64,5,16.34,1:37.10,3,9.49,1:12.08,4,9.51,1:12.38
2,9.70,1:21.51,1,9.78,1:21.42,5,12.12,1:49.22,3,9.99,1:22.07,4,9.78,1:22.16
2,10.11,1:31.620,1,10.13,1:31.549,5,12.02,2:01.233,3,10.25,1:32.311,4,10.33,1:32.482
