HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME
1,12.10,12.10,2,12.21,12.21,4,12.26,12.26,3,12.25,12.25
1,9.32,21.42,4,9.35,21.56,2,9.22,21.48,3,9.29,21.54
1,9.11,30.54,4,9.17,30.73,3,9.22,30.70,2,9.13,30.68
1,9.15,39.69,2,9.05,39.78,4,9.22,39.92,3,9.17,39.85
3,9.16,48.86,1,8.95,48.74,4,8.95,48.87,2,8.99,48.85
4,17.96,1:06.83,3,10.13,58.87,2,8.90,57.78,1,8.64,57.49
4,21.72,1:28.55,3,13.74,1:12.62,2,9.26,1:07.04,1,9.44,1:06.94
4,13.12,1:41.68,3,15.68,1:28.31,1,9.34,1:16.39,2,9.64,1:16.59
0,,DQ,3,17.09,1:45.395,2,10.83,1:27.211,1,10.50,1:27.085
