MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,Katherine RALSTON POSITION,Katherine RALSTON LAP TIME,Katherine RALSTON ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,JEON Ji-Soo POSITION,JEON Ji-Soo LAP TIME,JEON Ji-Soo ELAPSED TIME
3,7.50,7.50,1,7.36,7.36,4,7.83,7.83,5,7.96,7.96,2,7.39,7.39
2,9.49,16.99,3,9.74,17.10,4,9.53,17.36,5,9.58,17.54,1,9.48,16.87
2,8.93,25.92,3,8.88,25.98,4,8.98,26.34,5,8.95,26.49,1,8.93,25.80
2,9.09,35.01,3,9.07,35.05,5,9.23,35.57,4,9.07,35.56,1,9.03,34.83
3,9.40,44.410,2,9.30,44.343,5,9.74,45.307,4,9.40,44.953,1,9.44,44.266
