ZHANG Yuting POSITION,ZHANG Yuting LAP TIME,ZHANG Yuting ELAPSED TIME,Petra VANKOVA POSITION,Petra VANKOVA LAP TIME,Petra VANKOVA ELAPSED TIME,IVANDIC Maja POSITION,IVANDIC Maja LAP TIME,IVANDIC Maja ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME
2,13.29,13.29,3,13.60,13.60,4,13.83,13.83,1,13.00,13.00
2,9.94,23.23,3,9.81,23.41,4,9.84,23.67,1,10.14,23.14
2,10.14,33.37,3,10.15,33.56,4,10.03,33.70,1,10.13,33.27
1,9.77,43.14,3,9.87,43.43,4,9.95,43.65,2,9.98,43.25
1,10.04,53.18,3,10.01,53.44,4,10.14,53.79,2,10.03,53.28
1,9.84,1:03.02,3,9.98,1:03.42,4,10.58,1:04.37,2,9.87,1:03.15
1,9.63,1:12.65,3,10.26,1:13.68,4,11.01,1:15.38,2,9.59,1:12.74
1,9.65,1:22.30,3,10.58,1:24.26,4,11.43,1:26.81,2,9.64,1:22.38
1,9.72,1:32.020,3,10.87,1:35.134,4,11.62,1:38.436,2,9.69,1:32.077
