SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,WANG Hong Yang POSITION,WANG Hong Yang LAP TIME,WANG Hong Yang ELAPSED TIME
2,6.74,6.74,1,6.50,6.50,3,6.83,6.83,4,6.94,6.94
2,8.85,15.60,1,8.92,15.42,3,8.97,15.81,4,9.12,16.07
2,8.50,24.11,1,8.51,23.94,3,8.47,24.28,4,8.59,24.67
1,8.66,32.77,2,8.91,32.85,3,8.66,32.95,4,8.90,33.57
1,9.03,41.793,3,9.74,42.585,2,9.19,42.135,4,9.71,43.275
