Marie YOSHIDA POSITION,Marie YOSHIDA LAP TIME,Marie YOSHIDA ELAPSED TIME,Yulia KICHAPOVA POSITION,Yulia KICHAPOVA LAP TIME,Yulia KICHAPOVA ELAPSED TIME,LIN Meng POSITION,LIN Meng LAP TIME,LIN Meng ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME
4,14.60,14.60,1,14.24,14.24,2,14.35,14.35,3,14.40,14.40
4,11.54,26.14,1,11.60,25.84,2,11.54,25.89,3,11.57,25.97
4,11.66,37.80,1,11.62,37.46,2,11.66,37.55,3,11.70,37.67
4,11.44,49.24,2,11.57,49.03,1,11.47,49.02,3,11.45,49.12
1,10.23,59.47,3,10.79,59.82,2,10.52,59.54,4,10.71,59.83
1,10.42,1:09.89,3,10.29,1:10.11,2,10.42,1:09.96,4,10.58,1:10.41
2,10.72,1:20.61,3,10.93,1:21.04,1,10.57,1:20.53,4,10.68,1:21.09
2,10.61,1:31.22,3,10.80,1:31.84,1,10.33,1:30.86,4,11.01,1:32.10
2,10.55,1:41.768,3,11.11,1:42.947,1,10.70,1:41.560,4,11.08,1:43.174
