Susanne RUDOLPH POSITION,Susanne RUDOLPH LAP TIME,Susanne RUDOLPH ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME
2,14.14,14.14,1,14.01,14.01,3,14.22,14.22,4,14.48,14.48
3,11.31,25.46,1,11.34,25.36,2,11.17,25.40,4,11.16,25.65
2,11.06,36.53,1,11.11,36.47,3,11.30,36.70,4,11.07,36.72
2,10.66,47.20,1,10.70,47.17,4,10.75,47.46,3,10.69,47.41
2,10.17,57.37,1,10.11,57.29,3,10.01,57.47,4,51.59,1:39.01
2,9.99,1:07.36,3,10.09,1:07.38,1,9.80,1:07.28,4,33.79,2:12.81
2,9.72,1:17.08,3,9.71,1:17.10,1,9.65,1:16.94,4,22.63,2:35.45
3,9.79,1:26.87,2,9.67,1:26.78,1,9.70,1:26.64,4,19.03,2:54.48
2,10.59,1:37.458,1,10.30,1:37.073,0,,DQ,3,18.68,3:13.158
