Julian MACARAEG POSITION,Julian MACARAEG LAP TIME,Julian MACARAEG ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,Triphop THONGNGAM POSITION,Triphop THONGNGAM LAP TIME,Triphop THONGNGAM ELAPSED TIME,Furkan AKAR POSITION,Furkan AKAR LAP TIME,Furkan AKAR ELAPSED TIME
3,12.64,12.64,1,12.46,12.46,2,12.55,12.55,5,12.93,12.93,4,12.74,
3,9.60,22.24,2,9.67,22.13,1,9.48,22.03,5,9.56,22.49,3,9.50,
4,9.50,31.74,2,9.41,31.54,1,9.41,31.44,5,9.38,31.87,3,9.37,
4,9.21,40.95,2,9.18,40.72,1,9.21,40.65,5,9.25,41.12,3,9.21,
4,8.97,49.92,1,8.81,49.53,2,8.99,49.64,5,9.08,50.20,3,8.92,
4,8.98,58.90,1,8.83,58.36,2,8.80,58.44,5,8.89,59.09,3,8.80,
4,9.32,1:08.22,1,8.75,1:07.11,2,8.77,1:07.21,5,23.58,1:22.67,3,8.72,
2,9.82,1:18.04,1,8.87,1:15.98,5,35.59,1:42.80,3,17.09,1:39.76,4,33.26,
2,10.32,1:28.36,1,9.35,1:25.33,4,14.77,1:57.57,3,12.72,1:52.48,5,17.35,
