Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME
1,13.08,13.08,3,13.25,13.25,4,13.25,13.25,2,13.12,13.12
2,10.17,23.25,4,10.26,23.51,3,10.11,23.36,1,10.00,23.12
2,9.56,32.81,4,9.51,33.02,3,9.56,32.92,1,9.60,32.72
2,9.57,42.38,4,9.55,42.57,3,9.57,42.49,1,9.55,42.27
2,9.41,51.79,4,9.42,51.99,3,9.39,51.88,1,9.42,51.69
2,9.21,1:01.00,4,9.28,1:01.27,3,9.27,1:01.15,1,9.28,1:00.97
1,9.19,1:10.19,4,9.42,1:10.69,3,9.38,1:10.53,2,9.44,1:10.41
1,9.16,1:19.35,4,9.44,1:20.13,2,9.38,1:19.91,3,9.56,1:19.97
1,9.46,1:28.803,4,9.61,1:29.738,2,9.59,1:29.495,3,9.60,1:29.563
