Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME
2,8.10,8.10,1,7.79,7.79,4,8.45,8.45,5,8.59,8.59,6,8.74,8.74,3,8.30,8.30
2,10.95,19.05,1,10.63,18.42,4,10.83,19.28,5,10.78,19.37,6,10.76,19.50,3,10.86,19.16
2,10.19,29.24,1,10.02,28.44,4,10.18,29.46,5,10.18,29.55,6,10.18,29.68,3,10.20,29.36
2,9.97,39.21,1,9.92,38.36,4,9.91,39.37,5,9.92,39.47,6,9.92,39.60,3,9.94,39.30
2,9.95,49.16,1,9.96,48.32,4,9.98,49.35,5,9.97,49.44,6,9.95,49.55,3,9.97,49.27
2,9.97,59.13,1,10.05,58.37,4,9.98,59.33,5,10.01,59.45,6,10.00,59.55,3,9.96,59.23
2,9.89,1:09.02,1,10.04,1:08.41,4,9.94,1:09.27,5,9.93,1:09.38,6,9.96,1:09.51,3,9.94,1:09.17
2,9.67,1:18.69,1,10.09,1:18.50,4,9.75,1:19.02,5,9.74,1:19.12,6,9.71,1:19.22,3,9.75,1:18.92
1,9.57,1:28.26,2,9.92,1:28.42,4,9.68,1:28.70,5,9.67,1:28.79,6,9.67,1:28.89,3,9.69,1:28.61
1,9.86,1:38.12,2,9.83,1:38.25,4,9.74,1:38.44,5,9.73,1:38.52,6,9.76,1:38.65,3,9.74,1:38.35
1,9.65,1:47.77,4,9.81,1:48.06,3,9.62,1:48.06,5,9.62,1:48.14,6,9.58,1:48.23,2,9.44,1:47.79
3,9.56,1:57.33,6,9.98,1:58.04,2,9.04,1:57.10,4,9.19,1:57.33,5,9.21,1:57.44,1,9.23,1:57.02
5,9.79,2:07.12,6,10.72,2:08.76,1,9.63,2:06.73,2,9.42,2:06.75,4,9.55,2:06.99,3,9.73,2:06.75
5,9.54,2:16.656,6,10.48,2:19.239,1,8.92,2:15.647,2,9.14,2:15.883,4,9.18,2:16.163,3,9.40,2:16.150
