Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Olena KORINCHUK POSITION,Olena KORINCHUK LAP TIME,Olena KORINCHUK ELAPSED TIME,Aida BELLA POSITION,Aida BELLA LAP TIME,Aida BELLA ELAPSED TIME
2,7.37,7.37,1,7.20,7.20,4,7.70,7.70,3,7.50,7.50
2,9.33,16.70,1,9.37,16.57,4,9.38,17.08,3,9.47,16.97
2,8.86,25.56,1,8.90,25.47,4,9.19,26.27,3,9.17,26.14
2,9.11,34.67,1,9.10,34.57,4,9.28,35.55,3,9.28,35.42
1,9.27,43.932,2,9.39,43.959,4,9.68,45.228,3,9.75,45.163
