Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
4,13.13,13.13,2,13.03,13.03,1,12.77,12.77,3,13.09,13.09
3,10.15,23.29,4,10.41,23.45,1,10.34,23.12,2,10.19,23.28
2,10.05,33.34,3,9.94,33.40,1,10.12,33.25,4,10.18,33.47
2,10.16,43.51,4,10.25,43.66,1,10.12,43.37,3,10.07,43.54
2,9.61,53.13,4,9.77,53.43,1,9.71,53.08,3,9.71,53.26
1,9.24,1:02.37,3,9.11,1:02.55,2,9.33,1:02.41,4,9.43,1:02.69
1,9.25,1:11.63,2,9.17,1:11.73,3,9.39,1:11.80,4,9.86,1:12.56
2,9.39,1:21.03,1,8.94,1:20.67,3,9.42,1:21.23,4,10.61,1:23.17
2,9.90,1:30.926,1,9.29,1:29.956,3,9.75,1:30.975,4,12.01,1:35.179
