J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
1,12.43,12.43,2,12.46,12.46,3,12.56,12.56,4,12.75,12.75,5,13.42,13.42
3,10.31,22.74,2,10.22,22.68,4,10.32,22.88,5,10.30,23.05,1,9.16,22.58
3,9.30,32.04,1,9.22,31.90,4,9.27,32.15,5,9.24,32.29,2,9.34,31.92
3,9.03,41.07,1,8.99,40.89,4,9.02,41.17,5,9.00,41.29,2,9.06,40.98
3,9.13,50.20,1,9.12,50.01,5,9.16,50.33,4,9.00,50.29,2,9.11,50.09
2,8.92,59.12,1,9.01,59.02,5,9.08,59.41,4,9.02,59.31,3,9.13,59.22
2,8.98,1:08.10,1,9.02,1:08.04,5,9.10,1:08.51,3,8.95,1:08.26,4,9.19,1:08.41
1,8.88,1:16.98,2,8.96,1:17.00,4,9.15,1:17.66,3,8.91,1:17.17,5,9.60,1:18.01
1,9.06,1:26.040,2,9.05,1:26.045,4,9.32,1:26.978,3,8.96,1:26.124,5,10.47,1:28.480
