Menderes EREN POSITION,Menderes EREN LAP TIME,Menderes EREN ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,LIU Heinrich POSITION,LIU Heinrich LAP TIME,LIU Heinrich ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME
4,12.59,12.59,1,12.32,12.32,5,13.18,13.18,2,12.39,12.39,3,12.53,12.53
4,9.48,22.07,2,9.52,21.84,5,9.76,22.94,1,9.43,21.82,3,9.33,21.86
3,9.22,31.29,4,9.60,31.44,5,9.98,32.92,2,9.18,31.00,1,9.02,30.88
3,9.12,40.41,4,9.09,40.53,5,10.39,43.31,2,9.28,40.28,1,9.30,40.18
3,9.37,49.78,4,9.26,49.79,5,10.79,54.10,2,9.35,49.63,1,9.41,49.59
4,9.64,59.42,2,9.04,58.83,5,11.31,1:05.41,1,9.15,58.78,3,9.75,59.34
4,10.28,1:09.70,1,9.20,1:08.03,5,12.24,1:17.65,2,9.34,1:08.12,3,10.31,1:09.65
4,10.46,1:20.16,1,9.30,1:17.33,5,12.53,1:30.18,2,9.33,1:17.45,3,10.41,1:20.06
4,10.81,1:30.97,1,9.54,1:26.87,5,12.10,1:42.28,2,9.50,1:26.95,3,10.81,1:30.87
