Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Claudio RINALDI POSITION,Claudio RINALDI LAP TIME,Claudio RINALDI ELAPSED TIME,WEI Jiguang POSITION,WEI Jiguang LAP TIME,WEI Jiguang ELAPSED TIME,Vitaly MIKHEENKOV POSITION,Vitaly MIKHEENKOV LAP TIME,Vitaly MIKHEENKOV ELAPSED TIME
2,14.020,14.020,3,14.060,14.060,4,14.240,14.240,1,13.930,13.930
1,10.870,24.890,4,12.290,26.350,3,10.670,24.920,2,10.980,24.910
1,10.180,35.070,3,8.800,35.160,4,10.240,35.160,2,10.210,35.120
2,9.750,44.830,1,9.590,44.750,3,9.740,44.910,4,9.800,44.930
1,9.790,54.620,2,9.880,54.630,4,9.790,54.700,3,9.730,54.660
2,9.420,1:04.050,3,9.580,1:04.210,4,9.540,1:04.250,1,9.370,1:04.040
1,9.290,1:13.340,4,9.210,1:13.420,3,9.130,1:13.380,2,9.320,1:13.360
1,8.950,1:22.300,4,9.130,1:22.560,3,9.150,1:22.530,2,9.080,1:22.440
4,32.110,1:54.410,1,9.200,1:31.760,2,9.310,1:31.850,3,10.060,1:32.500
